Customer ID,Age,Professional experience,Salary,ZIP code,Family size,Average credit cards spend,Education level,Mortgage,Loan,Securities account,Certificate of Deposit account,Online Banking,Credit Card
3,63,39,24000,93023,2.0,300.0,3.0,0.0,,0,0,0,0
27,31,1,68000,95045,4.0,4000.0,3.0,0.0,,0,0,1,0
54,51,26,42000,93118,1.0,1300.0,2.0,0.0,,0,0,1,0
105,45,20,201000,92120,2.0,2800.0,1.0,0.0,,0,0,1,1
108,43,19,35000,94112,1.0,300.0,3.0,120000.0,,1,0,1,0
532,67,42,51000,94117,3.0,2200.0,1.0,0.0,,0,0,1,1
988,30,6,124000,91320,2.0,600.0,1.0,0.0,,0,0,1,0
2366,34,9,75000,94303,1.0,2800.0,1.0,194000.0,,0,0,0,0
2371,44,18,18000,93943,2.0,100.0,3.0,0.0,,0,0,1,0
2374,53,27,59000,92038,2.0,800.0,3.0,0.0,,0,0,1,0
2433,58,33,142000,92333,2.0,3900.0,1.0,0.0,,0,0,0,1
2441,36,12,88000,90212,2.0,2700.0,1.0,0.0,,0,0,1,0
2946,39,15,89000,92126,2.0,1900.0,1.0,0.0,,0,0,0,0
3024,39,13,80000,95616,2.0,1800.0,1.0,0.0,,0,0,1,0
4220,32,7,42000,92634,4.0,800.0,1.0,0.0,,0,0,1,1
4951,40,16,49000,92373,1.0,1800.0,1.0,0.0,,0,0,0,1
